Size of Array,Sorted Array Elapsed Time,Randomised Array Elapsed Time,Anti-Sorted Array Elapsed Time
301,38434,52719,54784
302,53548,41350,56191
303,33041,44960,41935
304,64031,48466,63333
305,54894,59830,92513
306,32100,70688,58839
307,63166,56545,58147
308,31465,76548,38160
309,56849,65551,64214
310,68625,62851,47742
311,63695,87536,53621
312,68808,91836,50585
313,48105,51102,63081
314,65081,89054,59632
315,57566,75388,67820
316,53196,69709,73756
317,99512,65449,63422
318,64230,46589,78981
319,56751,59996,67229
320,61157,65564,54212
321,47756,41588,64070
322,56569,64696,44393
323,56826,72100,71175
324,43174,70049,82335
325,85172,62160,75842
326,59599,69774,60991
327,75063,46929,53406
328,50706,57379,79030
329,68266,54747,40396
330,49299,86327,45880
331,63958,106201,78889
332,66576,91950,67762
333,104029,40757,65985
334,65767,79322,83058
335,78001,85303,63972
336,80409,72845,46748
337,78013,78413,70168
338,85260,68027,77627
339,58342,89690,57930
340,85610,70196,76042
341,88421,75660,67817
342,57145,80093,49302
343,80376,100562,61040
344,70732,51969,68596
345,58742,69139,83757
346,76073,62885,56190
347,72035,108970,62403
348,48162,78562,92124
349,92077,87224,78977
350,97124,74679,72531
351,81921,45296,50431
352,41512,42800,76799
353,79663,77317,44973
354,59051,94166,83675
355,104502,92489,61563
356,68134,78325,57578
357,72188,103303,77509
358,54712,100930,95008
359,84981,89483,68679
360,77286,80689,86908
361,88461,69165,70243
362,91033,70954,86303
363,65619,74548,85054
364,70429,69853,70368
365,79743,72764,84558
366,90456,99651,89751
367,77489,77912,89282
368,84687,65545,74730
369,68193,72935,60633
370,104746,73013,135033
371,71556,98812,95846
372,87912,93664,81491
373,108067,83008,78650
374,76666,79561,77386
375,85854,85403,85349
376,98336,68060,109969
377,79796,82580,94109
378,82703,73150,96248
379,100464,89892,94334
380,79600,100286,58517
381,61075,106277,86381
382,91936,107127,84715
383,47781,71491,112665
384,97023,99110,76830
385,81716,86625,84275
386,86442,102716,69446
387,83806,87447,99513
388,108223,87996,110699
389,90552,84601,59719
390,93730,113720,68280
391,97314,51628,77443
392,49956,88698,94758
393,77081,92052,99100
394,96873,73514,87400
395,90757,57989,50567
396,92417,100326,99524
397,72406,105481,89765
